"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"летнего" 0 0 0 0 0
"ливай" 0 0 0 0 0
"лиге" 0 0 0 0 0
"лидера" 0 0 0 0 0
"лидером" 0 0 0 0 0
"лидерства" 0 0 0 0 0
"ликвидации" 0 0 0 0 0
"лилли" 0 0 0 0 0
"лимбе" 0 0 0 0 0
"линейной" 0 0 0 0 0
"линией" 0 0 0 0 0
"линии" 0.05 0.05 0.05 0 0
"линий" 0.05 0.05 0.05 0 0
"линиями" 0.05 0.05 0.05 0.05 0
"лисовая" 0 0 0 0 0
"литературных" 0 0 0 0 0
"литературоцентричным" 0 0 0 0 0
"лиц" 0 0 0 0 0
"лица" 0 0 0 0 0
"лично" 0 0 0 0 0
"личной" 0 0 0 0 0
"личности" 0.05 0 0 0 0
"лишать" 0 0 0 0 0
"лишенные" 0 0 0 0 0
"лишенный" 0 0 0 0 0
"лишком" 0 0 0 0 0
"лишних" 0 0 0 0 0
"ловит" 0 0 0 0 0
"локализацию" 0 0 0 0 0
"локации" 0 0 0 0 0
"локдаун" 0 0 0 0 0
"лондоне" 0 0 0 0 0
"лоскуты" 0 0 0 0 0
"лотосе" 0 0 0 0 0
"лотофагов" 0 0 0 0 0
"луна" 0 0 0 0 0
"луне" 0 0 0 0 0
"лучезарному" 0 0 0 0 0
"лучиа" 0 0 0 0 0
"лучшее" 0.05 0.05 0.05 0.05 0
"лучшим" 0 0 0 0 0
"лучшими" 0 0 0 0 0
"льёт" 0 0 0 0 0
"лью" 0 0 0 0 0
"лэнгу" 0 0 0 0 0
"любим" 0 0 0 0 0
"любит" 0 0 0 0 0
"любителя" 0 0 0 0 0
"любителям" 0.05 0.05 0 0 0
"любовно" 0 0 0 0 0
"любого" 0 0 0 0 0
"любое" 0 0 0 0 0
"любом" 0 0 0 0 0
"любому" 0 0 0 0 0
"любящего" 0 0 0 0 0
"любящие" 0 0 0 0 0
"любящий" 0 0 0 0 0
"любящим" 0 0 0 0 0
"любящих" 0 0 0 0 0
"людях" 0 0 0 0 0
"люк" 0 0 0 0 0
"люком" 0 0 0 0 0
"люси" 0.05 0.05 0.05 0 0
"лютеном" 0 0 0 0 0
"маарва" 0 0 0 0 0
"магазинов" 0 0 0 0 0
"магнетическое" 0 0 0 0 0
"магов" 0 0 0 0 0
"мадалина" 0 0 0 0 0
"майский" 0 0 0 0 0
"майскому" 0 0 0 0 0
"макги" 0 0 0 0 0
"маккея" 0 0 0 0 0
"маккуина" 0 0 0 0 0
"максимально" 0 0 0 0 0
"макуод" 0 0 0 0 0
"макушки" 0 0 0 0 0
"маленькой" 0.05 0.05 0 0 0
"маленьком" 0 0 0 0 0
"маловероятным" 0 0 0 0 0
"малого" 0 0 0 0 0
"малое" 0 0 0 0 0
"малознакомым" 0 0 0 0 0
"малоизвестного" 0 0 0 0 0
"малость" 0 0 0 0 0
"малы" 0 0 0 0 0
"малый" 0 0 0 0 0
"малышом" 0 0 0 0 0
"мальчик" 0 0 0 0 0
"мальчика" 0 0 0 0 0
"мальчиков" 0 0 0 0 0
"мамой" 0 0 0 0 0
"мамы" 0 0 0 0 0
"мандалорце" 0 0 0 0 0
"манерен" 0 0 0 0 0
"манипулирует" 0 0 0 0 0
"манипуляция" 0 0 0 0 0
"манкирующих" 0 0 0 0 0
"маньяк" 0 0 0 0 0
"маньяка" 0 0 0 0 0
"манящих" 0 0 0 0 0
"мардер" 0 0 0 0 0
"мария" 0 0 0 0 0
"марком" 0 0 0 0 0
"мартышек" 0 0 0 0 0
"маскируется" 0 0 0 0 0
"маскулинности" 0 0 0 0 0
"массовой" 0 0 0 0 0.05
"мастер" 0 0 0 0 0
"мастерами" 0 0 0 0 0
"материалом" 0 0 0 0 0
"материнских" 0 0 0 0 0
"матчи" 0 0 0 0 0
"мать" 0 0 0 0 0
"мачизма" 0 0 0 0 0
"маша" 0 0 0 0 0
"маши" 0 0 0 0 0
"машинами" 0 0 0 0 0
"машиной" 0 0 0 0 0
"мгновение" 0 0 0 0 0
"мгновениями" 0 0 0 0 0
"меган" 0 0 0 0 0
"медиумов" 0 0 0 0 0
"медленный" 0 0 0 0 0
"медлительное" 0 0 0 0 0
"межгалактический" 0 0 0 0 0
"мейджор" 0 0 0 0 0
"мелодрама" 0 0 0 0 0
"мелочей" 0 0 0 0 0
"мельчайшего" 0 0 0 0 0
"менеджером" 0 0 0 0 0
"меня" 0 0 0 0 0
"места" 0 0 0 0 0
"местам" 0 0 0 0 0
"местах" 0 0 0 0 0
"местными" 0 0 0 0 0
"местных" 0 0 0 0 0.05
"метафоры" 0 0 0 0 0
"метаюмор" 0 0 0 0 0
"методами" 0 0 0 0 0.05
"методу" 0 0 0 0 0
"методы" 0 0 0 0 0
"метр" 0 0 0 0 0
"метра" 0 0 0 0 0
"механизм" 0 0 0 0 0
"мечами" 0 0 0 0 0
"мечтающий" 0 0 0 0 0
"миа" 0 0 0 0 0
"миглен" 0 0 0 0 0
"мизансценами" 0 0 0 0 0
"миконос" 0 0 0 0 0
"миллиардер" 0 0 0 0 0
"миллиардера" 0 0 0 0 0
"мимо" 0 0 0 0 0
"минетом" 0 0 0 0 0
"минимизации" 0 0 0 0 0
"министр" 0 0 0 0 0
"минотавра" 0 0 0 0 0
"минусах" 0 0 0 0 0
"миррен" 0 0 0 0 0
"миртчев" 0 0 0 0 0
"миры" 0 0 0 0 0
"миссий" 0 0 0 0 0
"мистическим" 0 0 0 0 0
"мистических" 0 0 0 0 0
"митчелл" 0 0 0 0 0
"миф" 0 0 0 0 0
"мифа" 0 0 0 0 0
"михайлова" 0 0 0 0 0
"михиль" 0 0 0 0 0
"мишень" 0 0 0 0 0
"младенцем" 0 0 0 0 0
"мне" 0 0 0 0 0
"мнение" 0 0 0 0 0
"многоглава" 0 0 0 0 0
"многогранный" 0 0 0 0 0
"многоопытном" 0 0 0 0 0
"многословные" 0 0 0 0 0
"многословным" 0 0 0 0 0
"многослойность" 0 0 0 0 0
"многочисленной" 0 0 0 0 0
"могли" 0 0 0 0.05 0.1
"могут" 0.05 0.1 0.1 0.15 0.2
"могучий" 0 0 0 0 0
"мода" 0 0 0 0 0
"модных" 0 0 0 0 0
"моды" 0 0 0 0 0
"моей" 0 0 0 0 0
"мой" 0 0 0 0 0
"молодой" 0.1 0 0 0 0
"молодости" 0 0 0 0 0
"молодых" 0 0 0 0 0
"момента" 0 0 0 0 0
"моментами" 0 0 0 0 0
"монотонную" 0 0 0 0 0
"монреаль" 0 0 0 0 0
"монстра" 0 0 0 0 0
"монстров" 0 0 0 0 0
"монтаж" 0 0 0 0 0
"монтажа" 0 0 0 0 0
"монументальный" 0 0 0 0 0
"мораль" 0 0 0 0 0
"моральная" 0 0 0 0 0
"моральных" 0 0 0 0 0
"мории" 0 0 0 0 0
"морлане" 0 0 0 0 0
"моррел" 0 0 0 0 0
"мортенсен" 0 0 0 0 0
"мортинсен" 0 0 0 0 0
"моря" 0 0 0 0 0
"москве" 0.05 0 0 0 0
"москвитян" 0 0 0 0 0
"москвы" 0 0 0 0 0
"московского" 0 0 0 0 0
"московском" 0 0 0 0 0
"мотив" 0 0 0 0 0
"мотивация" 0 0 0 0 0
"мотивациями" 0 0 0 0 0
"мотивирована" 0 0 0 0 0
"мотивированная" 0 0 0 0 0
"мотоциклах" 0 0 0 0 0
"мощным" 0 0 0 0 0
"мрачное" 0 0 0 0 0
"мрачную" 0 0 0 0 0
"мстителей" 0 0 0 0 0
"мстить" 0 0 0 0 0
"мужа" 0 0 0 0 0.05
"муже" 0 0 0 0 0
"мужем" 0 0 0 0 0
"мужчине" 0 0 0 0 0
"муза" 0 0 0 0 0
"муллой" 0 0 0 0 0
"мультиансамблевость" 0 0 0 0 0
"мультивселенность" 0 0 0 0 0
"мультивселенную" 0 0 0 0 0
"мультсериалом" 0 0 0 0 0
"мультфильм" 0 0 0 0 0
"мультфильма" 0 0 0 0 0
"муравей" 0 0 0 0 0
"муравье" 0 0 0 0 0
"мускулистыми" 0 0 0 0 0
"мусора" 0 0 0 0 0
"мусульманского" 0 0 0 0 0
"мутагена" 0 0 0 0 0
"мутна" 0 0 0 0 0
"мюзиклом" 0 0 0 0 0
"мюррей" 0 0 0 0 0
"наблюдается" 0 0 0 0 0
"набор" 0.05 0.05 0.05 0 0
"набора" 0 0 0 0 0
"набредете" 0 0 0 0 0
"навевает" 0 0 0 0 0
"наводила" 0 0 0 0 0
"навыки" 0 0 0 0 0
"навязчиво" 0 0 0 0 0
"нагнетающим" 0 0 0 0 0
"наград" 0 0 0 0 0
"надевать" 0 0 0 0 0
"надежд" 0 0 0 0 0
"надежда" 0 0 0 0 0
"надежду" 0 0 0 0 0
"наделены" 0 0 0 0 0
"наделил" 0 0 0 0 0
"наделило" 0 0 0 0 0
"наемный" 0 0 0 0 0
"названа" 0 0 0 0 0
"названию" 0 0 0 0 0
"названные" 0 0 0 0 0
"называют" 0.05 0.05 0.1 0.05 0.05
"наиболее" 0 0 0 0 0
"наивная" 0 0 0 0 0
"наивность" 0 0 0 0 0
"найдет" 0 0 0 0.05 0.05
"найдёт" 0 0 0 0 0
"найдут" 0 0 0 0 0
"наказание" 0 0 0 0 0
"наматывает" 0 0 0 0 0
"намек" 0 0 0 0 0
"намеков" 0 0 0 0 0
"намерен" 0 0 0 0 0
"намерениями" 0 0 0 0 0
"намеченному" 0 0 0 0 0
"нами" 0 0 0 0 0
"намного" 0.05 0.05 0.1 0.1 0.05
"написание" 0 0 0 0 0
"написания" 0 0 0 0 0
"наполненное" 0 0 0 0 0
"напоминают" 0 0 0 0 0
"напоминающему" 0 0 0 0 0
"напоминая" 0 0 0 0 0
"напомню" 0 0 0 0 0
"направлению" 0 0 0 0 0
"направленности" 0 0 0 0 0
"направляет" 0 0 0 0 0
"направляется" 0 0 0 0 0
"напрягающей" 0 0 0 0 0
"напряженным" 0 0 0 0 0
"наращивает" 0 0 0 0 0
"нарисована" 0 0 0 0 0
"наркотики" 0 0 0 0 0
"наркотиков" 0 0 0 0 0
"народа" 0 0 0 0 0
"народного" 0 0 0 0 0
"нарратив" 0 0 0 0 0
"населения" 0 0 0 0 0
"населяющих" 0 0 0 0 0
"насилие" 0 0 0 0.05 0.05
"насилия" 0.1 0.1 0.1 0.2 0.1
"насилующего" 0 0 0 0 0
"наскучить" 0 0 0 0 0
"наслаждается" 0 0 0 0 0
"наследует" 0 0 0 0 0
"настаивает" 0 0 0 0 0
"настоящем" 0 0 0 0 0
"настоящему" 0 0 0 0 0
"настроенного" 0 0 0 0 0
"наступает" 0 0 0 0 0
"насыщенны" 0 0 0 0 0
"натан" 0 0 0 0 0
"наташе" 0 0 0 0 0
"натурализм" 0 0 0 0 0
"натянул" 0 0 0 0 0
"научных" 0 0 0 0 0
"находится" 0 0 0 0 0.1
"находящемся" 0 0 0 0 0
"находящихся" 0 0 0 0 0
"начале" 0 0 0 0 0
"начальнику" 0 0 0 0 0
"начальные" 0 0 0 0 0
"начатый" 0 0 0 0 0
"начинают" 0 0 0 0 0
"нашем" 0 0 0 0 0.05
"нашли" 0.05 0.05 0 0 0
"небес" 0 0 0 0 0
"небольшая" 0 0 0 0 0
"небольшое" 0 0 0 0 0
"небытия" 0 0 0 0 0
"неверном" 0 0 0 0 0
"невзрачная" 0 0 0 0 0
"невзрачный" 0 0 0 0 0
"невиннее" 0 0 0 0 0
"невинные" 0 0 0 0 0
"невинный" 0 0 0 0 0
"невнятность" 0 0 0 0 0
"невнятностью" 0 0 0 0 0
"невнятный" 0 0 0 0 0
"невнятным" 0 0 0 0 0
"невнятных" 0 0 0 0 0
"невооружённым" 0 0 0 0 0
"неврозы" 0 0 0 0 0
"невыразительных" 0 0 0 0 0
"недавнего" 0 0 0 0 0
"недель" 0.05 0.05 0 0 0
"недобрые" 0 0 0 0 0
"недолго" 0 0 0 0 0
"недоразвитыми" 0 0 0 0 0
"недостаточная" 0 0 0 0 0
"недостойным" 0 0 0 0 0
"недотягивает" 0 0 0 0 0
"недоумении" 0 0 0 0 0
"незаметно" 0 0 0 0 0
"незамысловатость" 0 0 0 0 0
"незатопленным" 0 0 0 0 0
"незрелищного" 0 0 0 0 0
"неизменно" 0 0 0 0 0
"неимитируемым" 0 0 0 0 0
"некоем" 0 0 0 0 0
"некоторое" 0 0 0 0 0
"некоторой" 0 0 0 0 0
"некоторым" 0.05 0.05 0.05 0 0
"некоторых" 0.05 0.05 0.05 0.05 0
"нелепейших" 0 0 0 0 0
"нелепым" 0 0 0 0 0
"нельзя" 0 0 0.05 0.05 0.05
"нелюбимыми" 0 0 0 0 0
"нём" 0 0 0 0 0
"немалое" 0 0 0 0 0
"немедленного" 0 0 0 0 0
"немецкие" 0 0 0 0 0
"немногословных" 0 0 0 0 0
"немотивированное" 0 0 0 0 0
"нему" 0 0 0 0 0
"ненавидеть" 0 0 0 0 0
"ненавидящего" 0 0 0 0 0
"ненавистном" 0 0 0 0 0
"ненавязчиво" 0 0 0 0 0
"ненавязчивости" 0 0 0 0 0
"ненапрягающего" 0 0 0 0 0
"ненужных" 0 0 0 0 0
"необузданность" 0 0 0 0 0
"необходимости" 0 0 0 0 0
"необычный" 0 0 0 0 0
"необязательной" 0 0 0 0 0
"неоднозначность" 0 0 0 0 0
"неоднозначные" 0 0 0 0 0
"неожиданно" 0 0 0 0 0
"неординарной" 0 0 0 0 0
"неосознанно" 0 0 0 0 0
"неотъемлемой" 0 0 0 0 0
"неохотой" 0 0 0 0 0
"неплохим" 0 0 0 0 0
"неплохо" 0.05 0 0 0 0
"неподалеку" 0 0 0 0 0
"непоколебимая" 0 0 0 0 0
"непонятно" 0 0 0 0 0
"непонятным" 0 0 0 0 0
"непохожесть" 0 0 0 0 0
"непременно" 0 0 0 0 0
"непреодолимую" 0 0 0 0 0
"непригодной" 0 0 0 0 0
"непримечательный" 0 0 0 0 0
"непримечательных" 0 0 0 0 0
"непродуманности" 0 0 0 0 0
"непростым" 0 0 0 0 0
"неравнодушного" 0.05 0 0 0 0
"нерадивый" 0 0 0 0 0
"неразумно" 0 0 0 0 0
"нервной" 0 0 0 0 0
"нервы" 0 0 0 0 0
"несерьезно" 0 0 0 0 0
"несется" 0 0 0 0 0
"несильным" 0 0 0 0 0
"несимпатичного" 0 0 0 0 0
"несимпатичный" 0 0 0 0 0
"нескончаемых" 0 0 0 0 0
"неслучайно" 0 0 0 0 0
"неспешным" 0 0 0 0 0
"нести" 0 0 0 0 0
"несущее" 0 0 0 0 0
"несущих" 0 0 0 0 0
"несчастным" 0 0 0 0 0
"нетривиально" 0 0 0 0 0
"неубедительной" 0 0 0 0 0
"неувядающей" 0 0 0 0 0
"неугодных" 0 0 0 0 0
"неудачно" 0 0 0 0 0
"неудачные" 0 0 0 0 0
"неудивительно" 0 0 0 0 0
"неудобное" 0 0 0 0 0
"нехватке" 0 0 0 0 0
"нехитрой" 0 0 0 0 0
"нещадно" 0 0 0 0 0
"нибудь" 0 0 0 0 0
"нижним" 0 0 0 0 0
"николай" 0 0 0 0 0
"николсон" 0 0 0 0 0
"ними" 0 0 0 0.05 0.05
"ниоткуда" 0 0 0 0 0
"нисколько" 0 0 0 0 0
"нитки" 0 0 0 0 0
"новая" 0 0 0 0 0
"новгородом" 0 0 0 0 0
"новизна" 0 0 0 0 0
"нового" 0 0 0 0 0
"новозаветное" 0 0 0 0 0
"новой" 0.05 0 0 0 0
"новому" 0 0 0 0 0
"новую" 0 0 0 0 0
"новый" 0.05 0.05 0.05 0.05 0.1
"номер" 0 0 0 0 0
"номинирован" 0 0 0 0 0
"нормальная" 0 0 0 0 0
"носившаяся" 0 0 0 0 0
"ноттинг" 0 0 0 0 0
"ноябрьском" 0 0 0 0 0
"нужное" 0 0 0 0 0
"нулевых" 0 0 0 0 0
"нынешнем" 0 0 0 0 0
"нынешние" 0 0 0 0 0
"ньютон" 0 0 0 0 0
"нюанс" 0 0 0 0 0
"нюансы" 0 0 0 0 0
"обаяние" 0 0 0 0 0
"обаянии" 0 0 0 0 0
"обаятельной" 0 0 0 0 0
"обвиняет" 0 0 0 0 0
"обедняет" 0 0 0 0 0
"обезоруживающее" 0 0 0 0 0
"обезьянок" 0 0 0 0 0
"обещавший" 0 0 0 0 0
"обзорной" 0 0 0 0 0
"обидно" 0 0 0 0 0
"обитает" 0 0 0 0 0
"обитали" 0 0 0 0 0
"обитателями" 0 0 0 0 0
"обитель" 0 0 0 0 0
"облегчения" 0 0 0 0 0
"обличая" 0 0 0 0 0
"обличение" 0 0 0 0 0
"обличительной" 0 0 0 0 0
"обличить" 0 0 0 0 0
"обмане" 0 0 0 0 0
"обманывает" 0 0 0 0 0
"обнаружили" 0 0 0 0 0
"обнулился" 0 0 0 0 0
"обобщения" 0 0 0 0 0
"обозначает" 0 0 0 0 0
"обозначена" 0 0 0 0 0
"обозначенного" 0 0 0 0 0
"обозначено" 0 0 0 0 0
"обозначить" 0 0 0 0 0
"обозревая" 0 0 0 0 0
"обоих" 0 0.05 0.05 0.05 0.05
"обошелся" 0 0 0 0 0
"образами" 0 0 0 0 0
"образности" 0 0 0 0 0
"образу" 0 0 0 0 0
"образца" 0 0 0 0 0
"обрасти" 0 0 0 0 0
"обратная" 0 0 0 0 0
"обратно" 0 0 0 0 0
"обращаешь" 0 0 0 0 0
"обращайте" 0 0 0 0 0
"обращая" 0 0 0 0 0
"обретается" 0 0 0 0 0
"обри" 0 0 0 0 0
"обстоит" 0 0 0 0 0
"обстоятельств" 0 0 0 0 0
"обстоятельства" 0.1 0.1 0.1 0 0
"обучает" 0 0 0 0 0
"обучение" 0 0 0 0 0
"обученной" 0 0 0 0 0
"обходят" 0 0 0 0 0
"обширнее" 0 0 0 0 0
"обширную" 0 0 0 0 0
"обшучивается" 0 0 0 0 0
"общаться" 0 0 0 0 0.05
"общая" 0 0 0 0 0
"общего" 0 0 0 0 0
"общее" 0 0 0 0 0
"общепринятым" 0 0 0 0 0
"общества" 0 0 0 0 0
"общественными" 0 0 0 0 0
"общим" 0 0 0 0 0
"общую" 0 0 0 0 0
"объединенной" 0 0 0 0 0
"объединенных" 0 0 0 0 0
"объединились" 0 0 0 0 0
"объединяет" 0 0 0 0 0
"объединяющий" 0 0 0 0 0
"объединяющую" 0 0 0 0 0
"объектами" 0 0 0 0 0
"объективирует" 0 0 0 0 0
"объектом" 0 0 0 0 0
"объем" 0 0 0 0 0
"объяснить" 0 0 0 0 0
"объясняющим" 0 0 0 0 0
"обычаи" 0 0 0 0 0
"обычной" 0 0 0 0 0
"обычные" 0 0 0 0 0
"обычными" 0 0 0 0 0
"обязанностями" 0 0 0 0 0
"овчинников" 0 0 0 0 0
"огнем" 0 0 0 0 0
"огнестрел" 0 0 0 0 0
"ограниченная" 0 0 0 0 0
"ограниченность" 0 0 0 0 0
"ограничивается" 0 0 0 0 0
"огромным" 0 0 0 0 0
"одарённые" 0 0 0 0 0
"одеяло" 0 0 0 0 0
"одиноком" 0 0 0 0 0
"одиссей" 0 0 0 0 0
"однажды" 0.05 0.05 0 0 0
"одноименном" 0 0 0 0 0
"одному" 0 0 0 0 0
"однообразно" 0 0 0 0 0
"однорукого" 0 0 0 0 0
"одну" 0.15 0.15 0.1 0.05 0
"ожидаемо" 0 0 0 0 0
"ожидание" 0 0 0 0 0
"озвученной" 0 0 0 0 0
"озорства" 0 0 0 0 0
"окажетесь" 0 0 0 0 0
"окажется" 0.05 0.05 0.05 0 0
"оказалась" 0 0 0 0 0
"оказался" 0 0 0 0 0
"оказывает" 0 0 0 0 0
"оказываются" 0 0 0.05 0.05 0.05
"океана" 0 0 0 0 0
"океанический" 0 0 0 0 0
"океаном" 0 0 0 0 0
"окончившегося" 0 0 0 0 0
"окончившейся" 0 0 0 0 0
"окрестностях" 0 0 0 0 0
"окружающих" 0 0 0 0 0
"октября" 0 0 0 0 0
"олдскульных" 0 0 0 0 0
"оленей" 0 0 0 0 0
"оливеростоуновский" 0 0 0 0 0
"олигарха" 0 0 0 0 0
"олимпа" 0 0 0 0 0
"омен" 0 0 0 0 0
"опаздывающая" 0 0 0 0 0
"опасения" 0 0.05 0.05 0.05 0
"опасная" 0 0 0 0 0
"опасного" 0 0 0 0 0
"опасной" 0 0 0 0 0
"опасность" 0 0 0 0 0
"операция" 0 0 0 0 0
"описания" 0 0 0 0 0
"описывается" 0 0 0 0 0
"оплачивать" 0 0 0 0 0
"оправдание" 0 0 0 0 0
"оправдывает" 0 0 0 0 0
"оправдываться" 0 0 0 0 0
"оправдывая" 0 0 0 0 0
"определенно" 0 0 0 0 0
"определенной" 0 0 0 0 0
"опричниками" 0 0 0 0 0
"оптимизма" 0 0 0 0 0
"опубликованная" 0 0 0 0 0
"опустимся" 0 0 0 0 0
"опциональный" 0 0 0 0 0
"опытным" 0 0 0 0 0
"органами" 0 0 0 0 0
"органичен" 0 0 0 0 0
"оригинале" 0 0.1 0.15 0.15 0.15
"оригинальном" 0 0 0 0 0
"оригинальные" 0 0 0 0 0
"оружейник" 0 0 0 0 0
"оружие" 0 0 0 0 0
"оружием" 0 0 0 0 0
"оружию" 0 0 0 0 0
"осадчего" 0 0 0 0 0
"осады" 0 0 0 0 0
"осамы" 0 0 0 0 0
"освистывать" 0 0 0 0 0
"освоременив" 0 0 0 0 0
"осиротевшим" 0 0 0 0 0
"оскал" 0 0 0 0 0
"оскароносной" 0 0 0 0 0
"ослабевает" 0 0 0 0 0
"ослепительный" 0 0 0 0 0
"осложняется" 0 0 0 0 0
"основа" 0 0 0 0 0
"основанные" 0 0 0 0 0
"основная" 0 0 0 0 0
"основное" 0 0 0 0 0
"основным" 0 0 0 0 0
"особенного" 0 0 0 0.05 0.05
"особо" 0 0 0 0 0
"особой" 0 0 0 0 0
"осознанно" 0 0 0 0 0
"оставшиеся" 0 0 0 0 0
"оставшийся" 0 0 0 0 0
"остаётся" 0 0 0 0 0
"остальном" 0 0 0 0 0
"острее" 0.05 0 0 0 0
"острейший" 0 0 0 0 0
"острова" 0 0 0 0 0
"островок" 0 0 0 0 0
"острой" 0 0 0 0 0
"остросюжетности" 0 0 0 0 0
"остроумием" 0 0 0 0 0
"осудишь" 0 0 0 0 0
"отбитого" 0 0 0 0 0
"отведены" 0 0 0 0 0
"отдельное" 0 0 0 0 0
"отдельный" 0 0 0 0 0
"отечественного" 0.05 0.05 0 0 0
"отказывается" 0.05 0.05 0.05 0 0
"отказывался" 0 0 0 0 0
"отказывают" 0 0 0 0.05 0.05
"откопать" 0 0 0 0 0
"откровенно" 0.05 0.05 0.05 0.1 0.15
"открытия" 0 0 0 0 0
"открытом" 0 0 0 0 0
"открыть" 0 0 0 0 0.05
"откуда" 0 0 0 0 0
"отлаженной" 0 0 0 0 0
"отличается" 0 0.05 0.05 0.05 0.05
"отличают" 0 0.05 0.05 0.05 0.05
"отличаются" 0 0 0 0 0
"отличны" 0 0 0 0 0
"отметить" 0 0 0 0 0
"отморозка" 0 0 0 0 0
"отморозком" 0 0 0 0 0
"относительная" 0 0 0 0 0
"относительно" 0 0 0 0 0
"относительном" 0 0 0 0 0
"отношение" 0.05 0.05 0 0 0
"отношений" 0 0 0 0 0
"отношения" 0 0.05 0.05 0.1 0.15
"отношениям" 0 0 0 0 0
"отношениях" 0 0 0 0 0.05
"отнюдь" 0 0 0 0 0.05
"отойти" 0 0 0 0 0
"отомстить" 0 0 0 0 0
"отправились" 0 0 0 0 0
"отправляет" 0 0 0 0 0
"отправляют" 0 0 0 0 0
"отправляются" 0 0 0 0 0
"отпуск" 0 0 0 0 0
"отрабатывать" 0 0 0 0 0
"отражает" 0 0 0 0 0
"отрицательными" 0 0 0 0 0
"отрыв" 0 0 0 0 0
"отставного" 0 0 0 0 0
"отстают" 0 0 0 0 0
"отступлениями" 0 0 0 0 0
"отсутствием" 0 0 0 0 0
"отсутствии" 0 0 0 0 0
"отсутствующей" 0 0 0 0 0
"отсылают" 0 0 0 0 0
"отсылая" 0 0 0 0 0
"отсылками" 0 0 0 0 0
"отсылки" 0 0 0 0 0
"отточенную" 0 0 0 0 0
"отцовскую" 0 0 0 0 0
"отцом" 0 0 0 0 0
"отцу" 0.05 0 0 0 0
"отчего" 0 0 0 0 0
"офис" 0 0 0 0 0
"оформляет" 0 0 0 0 0
"оформляться" 0 0 0 0 0
"оффа" 0 0 0 0 0
"охотник" 0 0 0 0 0
"очарование" 0 0 0 0 0
"очевидная" 0 0 0 0 0
"очевидного" 0 0 0 0 0
"очевидной" 0 0 0 0 0
"очередными" 0 0 0 0 0
"очутившись" 0 0 0 0 0
"ошалевшего" 0 0 0 0 0
"ошибившись" 0 0 0 0 0
"ошибок" 0 0 0 0 0
"ощутим" 0 0 0 0 0
"ощущений" 0 0 0 0 0
"падающего" 0 0 0 0 0
"пальмами" 0 0 0 0 0
"пальцем" 0 0 0 0 0
"памяти" 0 0 0 0 0
"память" 0 0 0 0 0
"панаму" 0 0 0 0 0
"пандемию" 0 0 0 0 0.05
"папа" 0 0 0 0 0
"папе" 0 0 0 0 0
"папенька" 0 0 0 0 0
"папенькой" 0 0 0 0 0
"папой" 0 0 0 0 0
"параллельная" 0 0 0 0 0
"параллельно" 0 0 0 0 0.05
"параллельной" 0 0 0 0 0
"параллельных" 0 0 0 0 0
"паре" 0.05 0.05 0.05 0.05 0
"парень" 0 0 0 0 0
"пареньке" 0 0 0 0 0
"парнишки" 0 0 0 0 0
"парой" 0 0 0 0 0
"партизанской" 0 0 0 0 0
"партнерша" 0 0 0 0.05 0.05
"пару" 0 0 0 0 0
"пары" 0 0 0 0 0
"пасквиль" 0 0 0 0 0
"пассажирам" 0 0 0 0 0
"пассионарный" 0 0 0 0 0
"патриархате" 0 0 0.05 0.05 0.05
"паттернов" 0 0 0 0 0
"паулу" 0 0 0 0 0
"пафос" 0 0 0 0 0
"пачками" 0 0 0 0 0
"педантично" 0 0 0 0 0
"педиатра" 0 0 0 0 0
"пейзажей" 0 0 0 0 0
"пейр" 0 0 0 0 0
"пейтон" 0 0 0 0 0
"пенелопе" 0 0 0 0 0
"пенсию" 0 0 0 0 0
"первая" 0.1 0 0 0 0
"первое" 0.05 0 0 0 0
"первоэлементов" 0 0 0 0 0
"первые" 0 0.1 0.1 0.15 0.1
"переваривают" 0 0 0 0 0
"перевёл" 0 0 0 0 0
"переводить" 0 0 0 0 0
"переехать" 0 0 0 0 0
"перейти" 0 0 0 0 0
"перекликаться" 0 0 0 0 0
"перелопатила" 0 0 0 0 0
"переносится" 0 0 0 0 0
"перепродюсированной" 0 0 0 0 0
"перерывах" 0 0 0 0 0
"пересказывает" 0 0 0 0 0
"пересмотрит" 0 0 0 0 0
"перестаёт" 0 0 0 0 0
"переход" 0 0 0 0 0
"переходить" 0 0 0 0 0
"переходят" 0 0 0 0 0
"периода" 0 0 0 0 0
"периодически" 0 0 0 0 0
"персонажа" 0.1 0.1 0.1 0.1 0.05
"персонажи" 0 0 0 0 0.05
"персоналом" 0.05 0.05 0 0 0
"перфоратора" 0 0 0 0 0
"пестрой" 0 0 0 0 0
"петра" 0 0 0 0 0
"петь" 0 0 0 0 0
"пешками" 0 0 0 0 0
"пешком" 0 0 0 0 0
"пещерах" 0 0 0 0 0
"пещеру" 0 0 0 0 0
"пианино" 0 0 0 0 0
"пиджак" 0 0.05 0.05 0.05 0.05
"пик" 0 0 0 0 0
"пикантный" 0 0 0 0 0
"пикар" 0 0 0 0 0
"пике" 0 0 0 0 0
"пима" 0 0 0 0 0
"пинать" 0 0 0 0 0
"пионеры" 0 0 0 0 0
"пирамид" 0 0 0 0 0
"пирокинетик" 0 0 0 0 0
"пирокинетику" 0 0 0 0 0
"писателем" 0 0 0 0 0
"писателю" 0 0 0 0 0
"плавании" 0 0 0 0 0
"плаза" 0 0 0 0 0
"план" 0.05 0.05 0 0 0
